date,vodka_revenue
03/06/2024,282389.89
08/26/2021,282339.18
11/06/2018,281826.12
08/08/2023,281782.69
05/09/2022,281774.67
06/05/2023,281730.3
07/08/2021,281667.07
11/09/2021,281603.5
05/28/2020,281587.52
07/29/2019,281087.0
05/28/2019,281019.98
06/29/2018,280710.03
05/06/2022,280579.62
06/07/2022,280545.98
06/05/2024,280279.43
11/11/2022,280216.67
04/14/2022,280066.4
08/24/2022,279963.24
07/29/2022,279707.92
09/06/2023,279595.12
11/26/2018,279580.58
09/01/2020,279206.6
11/26/2021,278968.54
11/09/2023,278956.46
07/17/2023,278788.65
06/20/2022,278734.45
08/18/2023,278693.04
05/05/2020,278587.31
12/22/2017,278516.02
10/09/2020,278507.32
05/02/2024,278399.41
08/11/2021,278383.55
08/16/2023,278339.96
12/21/2018,278312.04
04/09/2024,278206.73
12/15/2020,278068.41
08/26/2019,278018.68
11/28/2017,277623.98
07/26/2019,277558.54
04/17/2024,277451.58
06/25/2020,277237.46
09/16/2021,277230.69
05/30/2024,277169.36
06/21/2021,277169.09
07/27/2017,276786.94
09/13/2017,276774.65
11/27/2018,276642.16
03/31/2023,275920.36
05/02/2023,275713.08
08/10/2021,275541.09
11/04/2022,275519.77
06/30/2022,275425.52
07/21/2021,275056.43
08/31/2018,274885.99
09/12/2017,274553.17
11/12/2021,274551.79
02/01/2021,274335.4
08/23/2022,273896.94
04/08/2022,273690.95
09/07/2021,273227.24
12/06/2021,273188.6
05/31/2019,272793.62
02/17/2023,272696.49
10/19/2021,272552.71
07/01/2019,272423.54
05/25/2023,272183.08
05/17/2022,271986.53
09/01/2021,271943.81
12/28/2018,271774.4
06/17/2020,271696.14
09/08/2022,271411.96
06/10/2021,270689.38
10/05/2021,270607.38
02/03/2023,269945.21
04/05/2023,269613.55
05/27/2022,269596.7
11/27/2023,269585.87
09/19/2022,269555.39
03/08/2021,269118.25
06/05/2018,268977.55
05/08/2023,268971.34
05/16/2024,268814.77
12/15/2022,268667.68
08/17/2022,268582.92
12/07/2022,268398.17
05/06/2020,268250.79
07/21/2023,267983.87
06/19/2020,267806.2
01/16/2023,267715.34
08/30/2021,267609.12
02/02/2021,267601.47
07/06/2022,267355.89
09/13/2023,267289.35
10/05/2020,267238.81
07/20/2022,267230.67
08/20/2021,267172.21
10/24/2017,266557.35
05/14/2019,266407.2
08/29/2019,266294.96
09/14/2020,266201.03
12/06/2023,266191.66
06/05/2017,266040.29
09/15/2021,265955.74
06/06/2022,265746.43
09/14/2021,265398.59
06/28/2019,264841.91
07/01/2020,264667.89
02/26/2024,264663.06
06/10/2024,264628.09
09/08/2021,264606.47
09/09/2021,264331.38
05/26/2020,264309.92
07/19/2023,264255.92
08/27/2020,263959.06
08/22/2023,263937.4
05/11/2023,263788.66
06/17/2022,263746.0
09/03/2021,263372.79
02/13/2023,263186.98
04/04/2023,262974.12
09/09/2023,262939.85
03/24/2020,262932.88
05/01/2020,262897.91
04/10/2023,262870.99
09/01/2022,262710.9
11/15/2021,262356.52
08/28/2017,262128.76
12/10/2021,262052.11000000002
02/01/2023,261782.99
07/28/2021,261690.19
08/02/2018,261568.37
02/08/2022,261447.73
02/03/2021,261399.52
04/17/2023,261370.1
03/04/2024,261193.21
06/09/2023,261128.82
03/23/2020,261115.37
05/28/2021,261018.93
06/24/2024,260891.5
11/07/2018,260776.07
05/29/2019,260658.01
07/21/2022,260610.93
09/05/2023,260473.15
09/07/2022,260460.97
11/29/2023,260433.36000000002
01/24/2019,260302.63
04/06/2023,260223.59
02/27/2024,260047.92
05/09/2023,260044.5
04/05/2024,259699.8
05/20/2022,259545.75
11/21/2022,259339.85
05/16/2018,259255.96
12/21/2021,259179.85
05/20/2021,259106.73
05/08/2024,259079.41
05/23/2018,258832.09
07/28/2022,258777.0
08/19/2019,258694.51
07/30/2021,258683.14
05/13/2024,258591.97
02/22/2024,258544.65
03/29/2023,258444.48
11/08/2017,258430.77
03/25/2022,258429.91
03/06/2018,258353.81
11/11/2021,258089.16
11/19/2020,258050.83
06/05/2020,258037.88
10/06/2021,257756.19
04/25/2024,257507.12
04/28/2021,257477.08
02/06/2018,257192.9
08/11/2023,257132.18
06/16/2023,257087.22
01/09/2023,256994.86000000002
08/15/2023,256698.67
06/16/2020,256646.39
07/10/2023,256202.51
03/18/2020,255915.65
05/12/2020,255840.54
05/17/2019,255742.14
02/19/2024,255584.59
05/17/2023,255514.94
12/12/2022,255300.0
03/29/2024,254872.91
06/08/2020,254744.28
03/26/2024,254719.55
11/08/2023,254686.3
03/05/2021,254307.67
07/31/2018,254036.73
02/28/2019,253929.0
10/17/2019,253921.76
04/25/2017,253910.48
07/10/2018,253521.77
05/15/2019,253232.38
05/01/2023,253134.56
12/18/2020,253122.24
08/23/2019,253052.21
10/02/2017,252974.91
07/24/2018,252918.09
08/18/2021,252814.04
07/28/2023,252734.95
05/25/2018,252451.87
12/20/2019,252223.43
05/04/2020,252050.03
05/17/2021,251922.08
04/22/2024,251918.44
06/15/2017,251826.3
02/26/2019,251775.2
08/12/2022,251408.38999999998
01/28/2019,251300.43
12/06/2018,251269.67
07/12/2023,251121.7
12/30/2022,251111.4
06/24/2021,251109.23
09/02/2022,251079.11
05/04/2021,251067.08
09/27/2017,251045.51
04/08/2021,250984.24
11/04/2021,250904.32
12/19/2023,250751.04
04/03/2020,250663.06
07/26/2018,250054.72
09/25/2020,249661.87
09/10/2018,249582.08
09/21/2021,249564.58
11/09/2022,249539.51
03/05/2024,249507.87
06/12/2023,249407.85
11/05/2021,249259.97
07/09/2018,249157.33
06/01/2017,248967.78
12/26/2018,248860.31
10/27/2022,248748.4
07/07/2020,248680.63
10/05/2022,248424.13
07/19/2022,248388.84
11/27/2020,248339.93
10/13/2023,248309.95
05/12/2021,248158.88
10/15/2021,248085.56
04/24/2019,248078.75
08/01/2019,247930.43
09/11/2018,247770.36
10/16/2020,247531.63
11/24/2023,247493.17
05/16/2023,247457.77
05/10/2024,247347.48
04/30/2024,247279.47
07/29/2020,247139.71
09/29/2021,247101.7
11/02/2022,246949.09
06/21/2022,246692.75
12/09/2021,246611.44
08/19/2020,246567.04
10/17/2022,246562.09
06/23/2022,246447.59
08/07/2019,246335.07
03/03/2020,246307.18
12/13/2022,246293.15
09/26/2022,246071.86000000002
06/13/2023,245988.35
10/14/2021,245756.98
09/14/2022,245683.15
06/04/2024,245203.4
09/20/2022,245160.76
08/05/2019,245158.03
11/22/2021,245049.53
08/24/2020,245046.17
02/02/2022,245031.27
08/25/2020,244902.0
10/26/2020,244794.88
09/23/2022,244683.67
02/14/2024,244546.88999999998
12/24/2021,244481.62
05/19/2021,244425.2
11/25/2019,244195.97
05/24/2024,244092.67
12/29/2022,243935.29
12/05/2023,243884.05
08/14/2018,243744.09
09/29/2023,243599.26
08/17/2021,243501.39
09/27/2019,243405.69
07/24/2020,243341.13
07/12/2022,243176.93
02/20/2024,243109.49
03/25/2021,242967.19
09/22/2021,242920.47
03/07/2019,242630.94
12/20/2023,242621.33
02/25/2020,242604.0
07/31/2020,242549.52
03/24/2023,242487.17
04/14/2020,242125.56
08/19/2022,241999.53
07/30/2019,241852.06
10/03/2023,241809.86
10/24/2019,241773.88999999998
03/10/2023,241733.62
06/20/2023,241701.04
06/09/2021,241445.8
06/26/2017,241408.88
06/25/2019,241369.82
06/07/2017,241367.61
04/06/2020,241322.0
05/08/2020,241218.58
06/02/2020,241171.74
12/27/2018,241166.95
10/03/2019,241119.37
09/22/2023,241070.62
08/09/2019,241019.79
03/12/2024,240997.22
04/17/2020,240806.59
06/13/2018,240751.26
10/06/2023,240693.91
03/20/2023,240509.1
08/05/2021,240464.47
01/03/2023,240327.65
05/11/2017,240252.43
04/26/2023,240247.44
08/08/2018,240224.05
06/18/2019,240199.48
06/06/2017,240118.69
04/04/2018,239974.7
03/31/2021,239922.73
10/22/2018,239830.56
06/08/2022,239828.67
08/11/2022,239669.42
08/27/2018,239646.08
06/10/2020,239627.28
12/20/2017,239625.71
03/13/2023,239544.28
05/22/2019,239537.08
08/30/2019,239529.16
02/27/2023,239526.93
12/02/2022,239517.2
05/03/2019,239513.28
09/24/2019,239482.87
07/17/2017,239465.63
05/20/2019,239398.14
05/10/2022,239383.83
09/30/2021,239370.39
12/14/2021,239363.13
01/22/2024,239275.23
04/02/2024,239169.16
03/17/2022,239137.44
12/08/2020,239133.11
08/16/2018,239103.49
02/13/2017,239084.67
03/16/2020,239059.86
10/07/2022,238956.68
03/12/2021,238952.79
02/21/2024,238897.55
06/10/2022,238848.01
09/11/2019,238832.25
07/18/2023,238820.11
02/19/2020,238658.11
12/05/2017,238615.44
04/28/2020,238592.63
06/21/2019,238568.19
04/16/2024,238512.68
06/23/2021,238266.88999999998
03/29/2022,238179.08
06/05/2019,238130.65
12/27/2019,238124.58
12/15/2021,238110.02
07/12/2019,238050.95
06/22/2023,238040.22
04/30/2018,237974.19
09/26/2018,237802.12
12/17/2018,237681.23
01/18/2023,237546.73
05/11/2022,237494.21
07/01/2022,237446.23
09/25/2019,237428.69
12/11/2020,237425.92
02/01/2022,237365.16
04/25/2018,237189.16
11/05/2018,237142.7
02/28/2020,237107.83
08/24/2023,237074.77
08/25/2022,237054.76
04/21/2021,237052.72
02/08/2017,236763.76
06/25/2018,236749.79
08/06/2020,236563.47
07/02/2021,236501.22
02/24/2021,236467.86
08/29/2018,236444.46
06/22/2021,236414.16
08/10/2020,236172.89
10/26/2022,236149.78
04/16/2021,236115.75
04/13/2020,236089.4
07/23/2018,235782.52
04/01/2022,235693.19
10/28/2020,235679.37
12/21/2016,235457.93
04/26/2018,235438.51
10/27/2023,235229.2
12/13/2018,235207.08
01/02/2024,235085.4
09/06/2018,235019.75
04/13/2021,234553.94
05/23/2022,234516.97
06/14/2024,234415.92
12/11/2023,234393.62
03/17/2021,234379.13
05/14/2024,234375.62
01/10/2022,234356.87
05/22/2020,234336.17
06/11/2024,234261.44
08/23/2021,234245.08000000002
06/03/2023,234166.53
07/14/2022,234151.73
12/16/2019,234030.82
07/06/2020,234028.86
10/23/2017,233996.14
06/19/2018,233847.02
03/19/2024,233503.93
07/19/2017,233409.8
03/09/2020,233383.89
04/23/2024,233206.73
05/04/2022,233177.68
07/03/2020,233168.41
09/21/2020,233082.69
08/14/2020,232910.97
02/26/2020,232836.27
09/26/2017,232819.21
09/14/2017,232739.30000000002
06/14/2022,232576.93
06/03/2019,232569.46
08/30/2017,232461.92
01/06/2022,232385.3
12/21/2022,232377.43
04/05/2018,232316.43
05/21/2024,232124.0
05/07/2019,231989.18
06/22/2022,231968.72
01/07/2020,231938.04
01/10/2019,231874.38
04/14/2023,231713.53
04/09/2018,231561.62
02/03/2020,231452.67
05/14/2021,231430.09
06/19/2023,231401.86
07/11/2023,231396.13999999998
11/06/2020,231363.29
03/14/2024,231302.2
07/23/2021,231260.03
08/07/2018,231198.24
10/05/2023,231187.16
06/29/2017,231180.11000000002
07/18/2018,230861.02
04/10/2024,230760.54
06/01/2021,230733.36000000002
10/10/2018,230656.76
04/03/2018,230497.94
08/13/2019,230477.54
11/06/2023,230477.14
07/13/2022,230410.71
07/25/2023,230404.29
10/19/2022,230336.87
01/17/2024,230231.92
01/25/2021,230046.95
07/05/2022,230026.88
01/13/2023,230016.25
09/08/2020,229985.38
10/04/2022,229897.13
05/02/2018,229864.34
11/19/2018,229862.55
11/06/2019,229807.95
12/01/2016,229802.75
09/15/2023,229772.25
07/20/2023,229731.56
12/09/2022,229646.12
12/26/2022,229614.59
06/20/2024,229457.77
09/27/2018,229431.36000000002
05/08/2018,229308.4
04/25/2022,229214.31
07/17/2019,229165.61
08/12/2019,229064.92
04/12/2018,229033.76
12/22/2016,229003.21
12/17/2021,228992.49
06/19/2024,228932.57
08/15/2018,228848.59
05/03/2021,228719.02
04/05/2022,228586.81
04/18/2023,228528.65
06/12/2024,228402.23
07/20/2020,228348.91
01/27/2021,228284.97
11/17/2016,228261.38
09/26/2019,228237.66
03/28/2023,228219.19
01/27/2023,227972.15
02/05/2021,227967.06
03/28/2022,227918.69
01/12/2021,227820.37
05/15/2023,227704.42
12/19/2018,227664.18
10/30/2019,227619.21
07/14/2021,227577.37
07/01/2021,227562.75
06/17/2021,227540.74
06/09/2022,227381.53
09/13/2021,227347.8
12/26/2020,227331.09
06/06/2019,227275.33000000002
10/24/2018,227254.35
03/01/2023,227237.64
11/02/2016,226937.24
10/27/2016,226932.16
10/15/2018,226905.91
07/07/2022,226902.36
03/14/2022,226847.31
04/03/2024,226783.34
10/06/2022,226773.94
06/09/2020,226696.46
08/09/2021,226692.4
02/24/2023,226465.2
06/15/2023,226437.77
01/20/2020,226434.69
03/24/2021,226389.45
12/08/2022,226386.06
12/07/2017,226319.97
04/28/2023,226283.88
09/12/2022,225978.02
02/15/2022,225847.0
11/29/2017,225803.22
05/10/2023,225693.43
03/18/2024,225684.09
01/25/2024,225578.21
10/23/2018,225541.74
01/22/2019,225474.71
03/17/2023,225446.76
06/18/2018,225425.97
09/21/2022,225397.09
06/12/2017,225368.84
08/16/2019,225270.65
07/22/2022,225270.53
04/29/2019,225241.62
09/01/2016,225121.45
08/29/2022,225114.16
08/12/2020,225114.04
09/09/2022,225080.38
09/05/2017,225003.85
06/13/2017,224998.15
04/29/2022,224993.66
06/02/2022,224926.89
11/16/2016,224926.16
09/16/2022,224911.52
12/04/2018,224897.76
09/24/2021,224844.59
09/25/2018,224834.74
11/28/2022,224642.79
09/07/2016,224559.48
03/19/2021,224557.9
02/04/2019,224518.31
09/11/2023,224512.02
12/26/2017,224476.68
03/23/2021,224351.06
02/28/2018,224348.15
08/02/2019,224270.23
06/07/2018,224228.67
11/23/2021,224219.83
06/28/2022,224211.77
10/28/2022,224112.71
11/01/2023,224084.05
06/21/2024,223943.19
11/18/2019,223914.62
01/03/2020,223857.08
12/09/2019,223849.95
10/20/2021,223795.88999999998
10/19/2017,223749.84
09/19/2018,223741.99
11/03/2021,223576.43
02/02/2024,223473.18
12/28/2021,223471.1
10/04/2018,223376.77
08/13/2021,223323.92
07/27/2020,223057.6
02/25/2021,223049.38
01/26/2021,223046.48
09/04/2018,222958.5
04/26/2019,222955.1
02/20/2023,222952.06
12/20/2018,222803.17
06/03/2024,222603.33
08/02/2021,222595.11
05/11/2020,222547.2
01/12/2023,222542.8
10/03/2018,222526.31
12/24/2019,222470.75
11/03/2022,222361.3
05/14/2020,222236.7
03/06/2019,221999.78
07/08/2020,221901.72
01/09/2024,221878.82
01/25/2023,221860.01
03/04/2020,221836.11000000002
07/12/2018,221826.58
02/26/2021,221757.5
06/04/2019,221738.37
10/26/2021,221683.76
02/01/2017,221536.32
10/22/2021,221489.66
03/09/2021,221458.86
05/18/2020,221437.43
12/16/2020,221308.83
06/13/2024,221279.11
02/07/2018,221218.26
09/12/2018,221113.46
01/08/2018,221085.3
07/28/2020,221047.54
09/18/2017,221019.41
01/17/2023,221017.19
05/22/2018,220997.55
09/15/2016,220973.11
12/22/2021,220931.36
05/09/2024,220895.79
04/18/2018,220867.41
01/08/2024,220809.13999999998
11/03/2020,220790.77
09/15/2020,220738.34
03/27/2024,220427.95
06/27/2019,220406.71
11/20/2017,220396.19
09/22/2022,220342.23
12/15/2023,220342.16
07/18/2022,220331.96
08/01/2018,220302.97
12/13/2023,220247.51
11/03/2023,220188.21
04/27/2022,220083.31
07/15/2022,219996.05
01/04/2019,219952.88
08/21/2018,219948.72
11/09/2020,219942.0
07/17/2020,219919.96
06/12/2018,219903.64
02/12/2020,219772.91
11/12/2018,219697.73
04/19/2022,219508.91
04/20/2023,219393.97
04/11/2024,219374.01
12/08/2021,219358.71
04/24/2018,219349.24
07/21/2020,219217.95
05/21/2018,219030.06
05/24/2019,219017.62
08/21/2019,218990.8
09/29/2022,218965.27
06/13/2022,218942.51
11/13/2018,218939.63
05/18/2023,218911.54
10/14/2019,218910.63
09/02/2020,218862.71
08/31/2017,218774.16
04/09/2021,218750.86
11/11/2019,218631.58
10/16/2023,218572.74
10/21/2022,218517.58
09/10/2020,218505.44
06/14/2023,218205.17
01/04/2021,218112.66
12/06/2019,218076.05
01/10/2024,217974.52
02/22/2021,217919.64
08/28/2023,217791.36
01/18/2021,217777.71
10/01/2021,217650.49
05/02/2019,217621.32
04/05/2021,217578.78
12/28/2022,217378.38
08/09/2018,217320.54
07/09/2021,217313.86
03/27/2023,217275.78
10/31/2022,217220.27
07/14/2020,217174.75
05/10/2018,217141.29
04/22/2022,217027.17
10/16/2019,216988.28
05/09/2019,216923.98
12/17/2019,216826.86000000002
04/02/2018,216821.42
09/17/2021,216637.0
06/11/2018,216462.98
11/24/2021,216462.12
05/18/2017,216432.63999999998
10/23/2023,216423.39
02/05/2019,216131.33
12/24/2020,215995.74
04/26/2021,215782.62
02/01/2024,215693.53
08/20/2018,215599.72
04/12/2021,215569.74
08/20/2020,215503.89
06/18/2021,215450.36
04/07/2021,215375.4
07/13/2020,215335.92
05/17/2024,215289.77
05/21/2019,215286.12
01/20/2023,215220.76
03/03/2021,215204.82
09/03/2019,215195.23
02/06/2017,215116.36000000002
09/02/2021,215023.83
11/01/2017,214905.59
09/14/2016,214752.07
06/27/2017,214667.51
11/20/2019,214662.56
05/24/2018,214625.68
06/10/2019,214330.63
05/13/2019,214301.33
12/03/2021,214119.93
04/12/2023,214119.86
04/27/2020,214115.84
02/10/2023,214085.09
09/07/2017,214035.32
05/25/2021,213914.72
12/20/2021,213866.03
03/21/2022,213798.69
07/10/2017,213731.8
07/17/2018,213694.75
10/25/2017,213644.61
01/06/2021,213577.18
03/11/2021,213548.23
03/30/2021,213474.14
04/15/2024,213467.78
05/08/2019,213320.62
10/18/2023,213230.04
02/21/2020,213036.95
07/25/2022,212989.75
09/04/2020,212923.14
12/07/2021,212827.88
08/29/2017,212663.58000000002
02/12/2024,212461.9
03/13/2020,212394.56
08/09/2017,212385.08
10/07/2021,212348.38
12/16/2021,212334.5
11/14/2017,212326.99
12/13/2019,212266.22
01/23/2023,212077.35
08/10/2023,212071.52
06/01/2020,212063.87
08/17/2023,212002.07
04/11/2022,211962.16
11/16/2019,211950.39
05/15/2024,211928.13
05/16/2019,211906.08
10/27/2020,211877.89
02/07/2019,211732.79
11/12/2019,211701.63
03/26/2021,211687.24
09/28/2020,211671.96
11/08/2018,211624.4
09/30/2022,211584.86
10/12/2020,211512.11
09/28/2022,211436.49
12/10/2018,211346.7
02/11/2020,211336.19
03/18/2022,211272.72
05/13/2020,211219.29
11/07/2017,211196.3
09/24/2018,211156.86
04/27/2017,210993.52
07/06/2017,210988.85
12/19/2016,210895.72
11/01/2022,210887.75
07/18/2017,210840.36
01/11/2023,210768.22
04/23/2018,210648.35
08/23/2017,210598.92
05/10/2019,210428.3
01/16/2024,210419.07
10/11/2019,210391.72
01/31/2024,210341.71
05/31/2017,210287.4
07/12/2017,210237.93
10/17/2018,210170.96
07/10/2020,210129.19
06/14/2018,210089.91
12/27/2017,210046.49
09/10/2019,210038.97
12/18/2019,210014.96
04/21/2023,209955.43
02/08/2021,209862.39
01/07/2019,209812.25
02/15/2023,209809.06
09/20/2023,209738.95
04/10/2019,209631.2
11/27/2017,209571.56
11/19/2019,209504.6
08/06/2019,209496.02
03/10/2021,209446.57
02/17/2022,209286.71
06/12/2019,209233.76
03/22/2023,208661.13999999998
05/16/2022,208400.14
02/26/2018,208357.44
06/11/2019,208337.42
01/05/2021,208297.8
07/26/2021,208281.33
04/11/2017,208053.51
12/26/2019,207947.62
12/18/2017,207795.57
09/30/2020,207707.36
08/11/2020,207655.18
05/30/2019,207638.9
03/09/2023,207596.06
05/09/2018,207501.05
07/22/2019,207450.09
11/08/2019,207295.42
07/22/2020,207155.33
09/08/2016,207151.96
06/07/2019,207116.85
02/20/2019,207093.08
12/23/2021,207030.34
07/11/2022,206935.0
10/17/2023,206923.9
08/10/2017,206917.07
10/02/2020,206893.46
03/27/2020,206838.45
03/11/2022,206800.9
07/31/2017,206776.36000000002
05/10/2017,206722.28
04/26/2022,206717.38
04/17/2019,206685.43
11/04/2020,206547.49
12/30/2021,206498.62
03/13/2017,206323.76
05/31/2018,206260.54
06/06/2024,206184.72
01/11/2022,206182.26
07/24/2017,206067.98
09/14/2023,206002.96
10/29/2018,205940.84
08/22/2018,205933.17
08/30/2018,205866.96
01/19/2022,205769.33
12/01/2022,205676.87
03/21/2023,205559.01
11/28/2023,205470.81
03/18/2021,205456.81
05/10/2021,205455.65
09/13/2022,205451.82
12/02/2021,205416.43
04/20/2021,205381.75
05/03/2022,205323.16
05/26/2017,205193.42
12/05/2018,205125.79
05/17/2018,205045.05
02/04/2020,205010.82
03/05/2019,204910.41
05/30/2018,204876.44
02/27/2018,204858.16
05/14/2018,204858.11000000002
01/24/2020,204726.49
11/24/2020,204642.55
10/10/2016,204547.63
07/10/2019,204504.83
02/06/2019,204458.57
02/12/2019,204305.67
06/04/2022,204264.72
07/05/2023,204261.21
11/22/2022,204146.35
03/30/2023,204085.51
03/25/2020,203987.5
11/05/2019,203947.02
09/20/2017,203904.73
09/19/2023,203863.16
12/03/2018,203818.24
08/14/2019,203723.36000000002
10/29/2019,203506.3
04/25/2019,203326.15
01/07/2022,203226.39
02/02/2023,203183.33
02/05/2020,203112.97
12/07/2016,203021.29
01/29/2024,202985.25
08/23/2018,202851.32
02/10/2021,202773.24
09/15/2022,202680.59
08/02/2017,202554.08
07/13/2023,202534.96
05/01/2018,202493.66
01/04/2023,202348.06
